Vegatation,AET1901,AET1902,AET1903,AET1904,AET1905,AET1906,AET1907,AET1908,AET1909,AET1910,AET1911,AET1912,Full_Exten,Full_Ext_1,Full_Ext_2,Full_Ext_3,Full_Ext_4,Full_Ext_5,Full_Ext_6,Full_Ext_7,QTP_ASPECT,QTP_DEM,QTP_SLOPE,EVI190101,EVI190117,EVI190202,EVI190218,EVI190306,EVI190322,EVI190407,EVI190423,EVI190509,EVI190525,EVI190610,EVI190626,EVI190712,EVI190728,EVI190813,EVI190829,EVI190914,EVI190930,EVI191016,EVI191101,EVI191117,EVI191203,EVI191219,GPP190101,GPP190117,GPP190202,GPP190218,GPP190306,GPP190322,GPP190407,GPP190423,GPP190509,GPP190525,GPP190610,GPP190626,GPP190712,GPP190728,GPP190813,GPP190829,GPP190914,GPP190930,GPP191016,GPP191101,GPP191117,GPP191203,GPP191219,LAI190101,LAI190117,LAI190202,LAI190218,LAI190306,LAI190322,LAI190407,LAI190423,LAI190509,LAI190525,LAI190610,LAI190626,LAI190712,LAI190728,LAI190813,LAI190829,LAI190914,LAI190930,LAI191016,LAI191101,LAI191117,LAI191203,LAI191219,LST190101,LST190117,LST190202,LST190218,LST190306,LST190322,LST190407,LST190423,LST190509,LST190525,LST190610,LST190626,LST190712,LST190728,LST190813,LST190829,LST190914,LST190930,LST191016,LST191101,LST191117,LST191203,LST191219,LST2015,LST2016,LST2017,LST2018,LST2019,NDVI190101,NDVI190117,NDVI190202,NDVI190218,NDVI190306,NDVI190322,NDVI190407,NDVI190423,NDVI190509,NDVI190525,NDVI190610,NDVI190626,NDVI190712,NDVI190728,NDVI190813,NDVI190829,NDVI190914,NDVI190930,NDVI191016,NDVI191101,NDVI191117,NDVI191203,NDVI191219,NPP190101,NPP190117,NPP190202,NPP190218,NPP190306,NPP190322,NPP190407,NPP190423,NPP190509,NPP190525,NPP190610,NPP190626,NPP190712,NPP190728,NPP190813,NPP190829,NPP190914,NPP190930,NPP191016,NPP191101,NPP191117,NPP191203,NPP191219,PAR190101,PAR190117,PAR190202,PAR190218,PAR190306,PAR190322,PAR190407,PAR190423,PAR190509,PAR190525,PAR190610,PAR190626,PAR190712,PAR190728,PAR190813,PAR190829,PAR190914,PAR190930,PAR191016,PAR191101,PAR191117,PAR191203,PAR191219,PR190101,PR190201,PR190301,PR190401,PR190501,PR190601,PR190701,PR190801,PR190901,PR191001,PR191101,PR191201,PR2015,PR2016,PR2017,PR2018,PR2019,SOIL1901,SOIL1902,SOIL1903,SOIL1904,SOIL1905,SOIL1906,SOIL1907,SOIL1908,SOIL1909,SOIL1910,SOIL1911,SOIL1912,SR190602B1,SR190602B2,SR190602B3,SR190602B4,SR190602B5,SR190602B6,SR190602B7,SR190704B1,SR190704B2,SR190704B3,SR190704B4,SR190704B5,SR190704B6,SR190704B7,SR190728B1,SR190728B2,SR190728B3,SR190728B4,SR190728B5,SR190728B6,SR190728B7,SR190829B1,SR190829B2,SR190829B3,SR190829B4,SR190829B5,SR190829B6,SR190829B7,SR190930B1,SR190930B2,SR190930B3,SR190930B4,SR190930B5,SR190930B6,SR190930B7
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,621,842,855,1024,930,719,194,0,0,919,861,778,767,733,733,813,808,284.3250122,3633,22.5393009,820,474,686,527,832,560,1444,1898,2238,3116,3326,5066,5633,5180,5525,5534,3718,2759,2274,1811,1545,1644,1378,0,0,0,0,0,0,23,80,75,114,236,107,357,396,425,344,29,107,29,1,0,0,0,2,2,2,2,2,2,3,6,7,5,12,31,11,30,36,26,6,12,7,4,3,3,2,13716,13781,13933,13821,13989,14130,14581,15003,14319,14430,14971,0,14501,14940,14872,14723,13997,14720,14222,13927,14037,13698,13697,14556.17391,14469.08696,14462.88889,14379.68182,14345.22727,1210,694,1162,725,1174,902,2252,3082,3679,5142,5262,7274,7256,7751,8031,7431,6372,3768,4577,3542,2790,2359,2196,0,0,0,0,0,0,21,68,67,94,201,95,277,315,337,278,26,92,18,-5,0,0,0,18,19,13,12,15,15,16,28,33,25,44,76,45,73,79,73,33,53,37,30,20,20,18,0.0087244,0.0155356,0.0074732,0.0319542,0.127287,0.15391,0.127671,0.14121,0.111591,0.0483128,0.0222245,0.0002164,41.41666667,62.16666667,64.91666667,57.75,49.66666667,792,792,792,792,748,792,790,792,792,792,792,792,869,2709,422,798,3919,2876,1740,530,3359,344,761,3423,2263,1031,515,4861,331,869,4481,2970,1229,558,3787,340,741,4249,2824,1376,1532,3385,772,1094,4264,3438,2039
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,621,842,855,1024,930,719,194,0,0,957,744,790,710,770,759,938,894,286.2200012,3661,23.0576992,1442,1629,869,1184,1382,1453,1444,2093,2288,2995,1721,4741,6180,6094,5350,5308,4050,3202,2373,1903,1675,1644,1622,0,0,0,0,0,0,23,80,75,114,236,107,357,396,425,344,29,107,29,1,0,0,0,2,2,2,2,2,2,3,6,7,5,12,31,11,30,36,26,6,12,7,4,3,3,2,13716,13781,13933,13821,13989,14130,14581,15003,14319,14430,14971,0,14501,14940,14872,14723,13997,14720,14222,13927,14037,13698,13697,14556.17391,14469.08696,14462.88889,14379.68182,14345.22727,2054,2223,1495,1715,1874,2260,2252,3257,3723,5115,2552,6945,7722,8204,7886,7546,6552,4268,4570,3582,2962,2359,2532,0,0,0,0,0,0,21,68,67,94,201,95,277,315,337,278,26,92,18,-5,0,0,0,18,19,13,12,15,15,16,28,33,25,44,76,45,73,79,73,33,53,37,30,20,20,18,0.0087244,0.0155356,0.0074732,0.0319542,0.127287,0.15391,0.127671,0.14121,0.111591,0.0483128,0.0222245,0.0002164,41.41666667,62.16666667,64.91666667,57.75,49.66666667,792,792,792,792,748,792,790,792,792,792,792,792,815,2522,422,798,3919,2876,1740,597,3312,344,761,3423,2263,1031,515,4861,331,869,4481,2970,1229,471,3368,340,741,4249,2824,1376,1342,3341,772,1094,4264,3438,2039
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,621,842,855,1024,930,719,194,0,0,957,744,790,710,770,759,938,894,316.9429932,3677,19.1678009,820,474,686,527,832,560,1444,1898,2238,3116,3326,5066,5633,5180,5525,5534,3718,2759,2274,1811,1545,1644,1378,0,0,0,0,0,0,23,80,75,114,236,107,357,396,425,344,29,107,29,1,0,0,0,2,2,2,2,2,2,3,6,7,5,12,31,11,30,36,26,6,12,7,4,3,3,2,13716,13781,13933,13821,13989,14130,14581,15003,14319,14430,14971,0,14501,14940,14872,14723,13997,14720,14222,13927,14037,13698,13697,14556.17391,14469.08696,14462.88889,14379.68182,14345.22727,1210,694,1162,725,1174,902,2252,3082,3679,5142,5262,7274,7256,7751,8031,7431,6372,3768,4577,3542,2790,2359,2196,0,0,0,0,0,0,21,68,67,94,201,95,277,315,337,278,26,92,18,-5,0,0,0,18,19,13,12,15,15,16,28,33,25,44,76,45,73,79,73,33,53,37,30,20,20,18,0.0087244,0.0155356,0.0074732,0.0319542,0.127287,0.15391,0.127671,0.14121,0.111591,0.0483128,0.0222245,0.0002164,41.41666667,62.16666667,64.91666667,57.75,49.66666667,792,792,792,792,748,792,790,792,792,792,792,792,869,2709,422,798,3919,2876,1740,530,3359,344,761,3423,2263,1031,515,4861,331,869,4481,2970,1229,558,3787,340,741,4249,2824,1376,1532,3385,772,1094,4264,3438,2039
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,516,830,830,1011,923,709,159,0,0,843,707,756,780,745,718,727,729,218.6600037,3741,12.4896002,1526,1708,1737,1377,1873,1804,1732,2044,3537,3438,5228,5249,5931,5639,5161,4915,3651,2403,1954,1567,1598,1759,1511,0,0,0,0,0,0,23,80,84,268,242,258,264,430,435,356,50,121,18,1,0,0,0,3,2,2,3,2,2,4,5,8,5,13,5,42,32,23,22,13,11,6,3,2,2,2,13797,14022,14072,13835,14403,14231,14700,15173,14759,14479,15026,0,14373,14930,14871,14801,14496,14667,14343,13981,14130,13795,13702,14535.63043,14468.06522,14443.53333,14384.75556,14369.90698,2761,2727,2591,1899,2735,2972,2907,3593,5153,5567,8021,8424,8292,8614,8199,8150,6279,4840,4440,3448,3020,2563,2523,0,0,0,0,0,0,16,69,73,148,206,217,216,332,345,285,43,100,13,1,0,0,0,20,15,19,18,15,14,20,26,34,23,47,22,86,75,65,68,45,52,33,22,19,18,18,0.0087151,0.018728,0.0087876,0.0447016,0.146011,0.157121,0.132357,0.129385,0.121888,0.0573198,0.0233956,0.0002336,42.25,62.91666667,66.08333333,58.83333333,49.91666667,824,824,824,824,824,824,824,824,824,824,824,824,814,2859,413,802,3558,2948,1444,265,3099,176,515,3361,1756,720,261,3399,289,638,3555,2065,836,305,2994,153,454,3321,1848,677,1000,3350,453,843,4615,3363,1639
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,0,31,802,859,749,516,0,0,0,760,791,842,775,702,720,809,838,322.5639954,4427,10.4127998,-106,-151,-96,-126,-334,-168,1102,1227,1397,1906,2920,2826,2846,2713,2605,2584,2056,1676,-151,-67,-117,-206,-279,0,0,0,0,0,0,0,21,10,39,78,138,165,130,153,124,16,26,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,6,7,2,8,8,8,7,4,0,0,0,0,0,13046,12860,13123,13127,13143,13428,13727,14292,14217,14413,14354,14625,14520,14843,14857,14759,14089,14232,13620,13525,0,13141,13011,14323.17391,14426.90909,14047.93478,13935.78261,13758.81818,-99,-138,-87,-115,-305,-155,2021,2050,2463,2785,4950,4536,4764,3993,3750,4054,3365,3447,-143,-63,-111,-191,-259,0,0,0,0,0,0,0,20,7,32,66,119,142,112,134,103,13,21,0,0,0,0,0,0,0,1,0,0,0,14,9,13,16,28,31,12,38,38,33,35,25,1,2,1,0,0,0.009426,0.0158752,0.0141435,0.0276406,0.0981736,0.13267,0.107399,0.0622522,0.0745922,0.0590298,0.0181886,0.0016514,33.66666667,39.33333333,45.41666667,43.33333333,32.66666667,201,201,201,201,201,201,74,51,40,40,40,40,1656,2935,678,1063,3130,2431,1799,1037,2759,501,883,2817,2103,1057,1313,3059,632,1074,3354,2791,1682,1198,2832,523,859,3093,2456,1535,1029,2112,954,1134,2993,2584,1564
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,0,31,802,859,749,516,0,0,0,780,808,798,803,769,819,835,769,313.4949951,4409,6.7167001,-129,-163,-96,-139,-332,-202,1001,1157,1348,1749,2496,2701,2675,2717,2607,2244,2056,1497,-117,30,-27,-124,-223,0,0,0,0,0,0,0,21,8,23,69,110,139,132,152,124,8,38,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,6,7,5,8,8,7,2,5,0,0,0,0,0,13036,12844,13107,13114,13134,13431,13676,14197,14126,14406,14333,14618,14574,14861,14838,14738,13955,14233,13614,13526,13449,13136,13010,14325.8913,14405.86364,14081.08889,13968.78261,13763.43182,-121,-150,-87,-127,-305,-186,1852,1945,2371,2622,3811,4365,4550,4004,3760,3711,3365,2921,-114,31,-28,-119,-209,0,0,0,0,0,0,0,20,6,19,59,97,123,115,132,106,6,31,0,0,0,0,0,0,0,1,0,0,0,6,6,14,11,28,35,23,38,39,32,10,26,1,1,1,0,0,0.009426,0.0158752,0.0141435,0.0276406,0.0981736,0.13267,0.107399,0.0622522,0.0745922,0.0590298,0.0181886,0.0016514,33.66666667,39.33333333,45.41666667,43.33333333,32.66666667,201,201,201,201,201,201,74,51,40,40,40,40,1595,2729,783,1222,2933,2880,1823,1079,2751,536,963,3213,2073,1182,1302,3041,652,1079,3361,2787,1690,1164,2538,619,1005,3053,2447,1582,1319,2408,537,814,2789,2345,1510
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,0,31,802,859,749,516,0,0,0,780,808,798,803,769,819,835,769,220.7359924,4419,9.71422,-129,-163,-96,-139,-332,-202,1001,1157,1348,1749,2496,2701,2675,2717,2607,2244,2056,1497,-117,30,-27,-124,-223,0,0,0,0,0,0,0,21,8,23,69,110,139,132,152,124,8,38,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,6,7,5,8,8,7,2,5,0,0,0,0,0,13036,12844,13107,13114,13134,13431,13676,14197,14126,14406,14333,14618,14574,14861,14838,14738,13955,14233,13614,13526,13449,13136,13010,14323.17391,14426.90909,14047.93478,13935.78261,13758.81818,-121,-150,-87,-127,-305,-186,1852,1945,2371,2622,3811,4365,4550,4004,3760,3711,3365,2921,-114,31,-28,-119,-209,0,0,0,0,0,0,0,20,6,19,59,97,123,115,132,106,6,31,0,0,0,0,0,0,0,1,0,0,0,6,6,14,11,28,35,23,38,39,32,10,26,1,1,1,0,0,0.009426,0.0158752,0.0141435,0.0276406,0.0981736,0.13267,0.107399,0.0622522,0.0745922,0.0590298,0.0181886,0.0016514,33.66666667,39.33333333,45.41666667,43.33333333,32.66666667,201,201,201,201,201,201,74,51,40,40,40,40,1595,2729,783,1222,2933,2880,1823,1079,2751,536,963,3213,2073,1182,1302,3041,652,1079,3361,2787,1690,1164,2538,619,1005,3053,2447,1582,1319,2408,537,814,2789,2345,1510
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,0,31,802,859,749,516,0,0,0,760,791,842,775,702,720,809,838,302.7650146,4426,10.1896,-129,-163,-96,-139,-332,-202,1001,1157,1348,1749,2496,2701,2675,2717,2607,2244,2056,1497,-117,30,-27,-124,-223,0,0,0,0,0,0,0,21,8,23,69,110,139,132,152,124,8,38,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,6,7,5,8,8,7,2,5,0,0,0,0,0,13036,12844,13107,13114,13134,13431,13676,14197,14126,14406,14333,14618,14574,14861,14838,14738,13955,14233,13614,13526,13449,13136,13010,14323.17391,14426.90909,14047.93478,13935.78261,13758.81818,-121,-150,-87,-127,-305,-186,1852,1945,2371,2622,3811,4365,4550,4004,3760,3711,3365,2921,-114,31,-28,-119,-209,0,0,0,0,0,0,0,20,6,19,59,97,123,115,132,106,6,31,0,0,0,0,0,0,0,1,0,0,0,6,6,14,11,28,35,23,38,39,32,10,26,1,1,1,0,0,0.009426,0.0158752,0.0141435,0.0276406,0.0981736,0.13267,0.107399,0.0622522,0.0745922,0.0590298,0.0181886,0.0016514,33.66666667,39.33333333,45.41666667,43.33333333,32.66666667,201,201,201,201,201,201,74,51,40,40,40,40,1595,2729,783,1222,2933,2880,1823,1079,2751,536,963,3213,2073,1182,1302,3041,652,1079,3361,2787,1690,1164,2538,619,1005,3053,2447,1582,1319,2408,537,814,2789,2345,1510
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,0,393,907,787,829,576,22,0,0,32767,32767,730,788,700,859,32767,32767,340.8370056,4274,6.8485599,33,-80,199,128,-276,-214,-389,-300,-303,-600,168,197,255,30,0,-130,0,-123,0,0,-233,-341,-257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13105,12855,13176,13172,13199,13245,13606,13629,13666,13671,13844,14142,14148,14261,14258,14317,14207,14101,14043,13919,13842,13704,13190,14352.80435,14480.84444,14279.67391,14273.04348,14133.67391,32,-74,191,146,-251,-204,-421,-332,-331,-1116,232,254,2200,32,0,0,0,-289,0,0,-763,-910,-610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076582,0.0151975,0.0116465,0.0329334,0.0745734,0.110018,0.0725088,0.0753704,0.0734036,0.0496075,0.018064,0.0023684,30.58333333,35.41666667,40.08333333,38.41666667,31.41666667,71,71,71,71,123,219,81,56,43,43,43,43,273,171,658,539,243,345,150,60,-3,221,260,0,-3,4,5284,5318,5288,5220,4851,3023,1701,114,60,140,299,125,253,212,20,13,160,281,16,58,40
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,0,393,907,787,829,576,22,0,0,32767,32767,730,788,700,859,32767,32767,251.7660065,4282,3.95649,55,-80,178,128,-241,-187,-401,-368,-303,-600,169,203,326,20,-201,-53,0,-163,0,0,-229,-320,-267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13105,12855,13176,13172,13199,13245,13606,13629,13666,13671,13844,14142,14148,14261,14258,14317,14207,14101,14043,13919,13842,13704,13190,14352.80435,14480.84444,14279.67391,14273.04348,14133.67391,55,-74,171,146,-219,-177,-436,-408,-331,-1116,259,248,2473,21,-1004,-1279,0,-883,0,0,-741,-906,-587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076582,0.0151975,0.0116465,0.0329334,0.0745734,0.110018,0.0725088,0.0753704,0.0734036,0.0496075,0.018064,0.0023684,30.58333333,35.41666667,40.08333333,38.41666667,31.41666667,71,71,71,71,123,219,81,56,43,43,43,43,273,171,658,539,243,345,150,60,-3,221,260,0,-3,4,5263,5286,5288,5220,4851,3023,1701,97,75,140,299,125,253,212,18,-7,160,281,16,58,40
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,0,393,907,787,829,576,22,0,0,32767,32767,32767,793,695,679,32767,787,330.7269897,4276,4.6041398,55,-80,178,128,-241,-187,-401,-368,-303,-600,169,203,326,20,-201,-53,0,-163,0,0,-229,-320,-267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13105,12855,13176,13172,13199,13245,13606,13629,13666,13671,13844,14142,14148,14261,14258,14317,14207,14101,14043,13919,13842,13704,13190,14352.80435,14480.84444,14279.67391,14273.04348,14133.67391,55,-74,171,146,-219,-177,-436,-408,-331,-1116,259,248,2473,21,-1004,-1279,0,-883,0,0,-741,-906,-587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076582,0.0151975,0.0116465,0.0329334,0.0745734,0.110018,0.0725088,0.0753704,0.0734036,0.0496075,0.018064,0.0023684,30.58333333,35.41666667,40.08333333,38.41666667,31.41666667,71,71,71,71,123,219,81,56,43,43,43,43,273,171,658,539,243,345,150,60,-3,221,260,0,-3,4,5263,5286,5288,5220,4851,3023,1701,97,75,140,299,125,253,212,18,-7,160,281,16,58,40
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,0,393,907,787,829,576,22,0,0,32767,32767,730,788,700,859,32767,32767,193.1430054,4292,8.2171602,70,-64,185,133,-225,-181,-382,-375,-284,-595,116,122,198,23,123,-112,0,-137,0,0,-189,-382,-305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13108,12850,13174,13179,13194,13248,13596,13649,13659,13685,13841,14122,14135,14273,14262,14318,14203,14122,14038,13916,13842,13625,13168,14352.80435,14480.84444,14279.67391,14273.04348,14133.67391,70,-59,177,154,-204,-172,-412,-417,-309,-1081,191,164,1851,25,560,0,0,-474,0,0,-562,-937,-666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076582,0.0151975,0.0116465,0.0329334,0.0745734,0.110018,0.0725088,0.0753704,0.0734036,0.0496075,0.018064,0.0023684,30.58333333,35.41666667,40.08333333,38.41666667,31.41666667,71,71,71,71,123,219,81,56,43,43,43,43,273,171,658,539,243,345,150,58,2,221,260,0,-3,4,5074,5100,4835,4812,4973,2806,1716,81,35,144,309,100,260,188,20,-13,18,215,0,37,-2
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,0,393,907,787,829,576,22,0,0,32767,32767,32767,793,695,679,32767,787,351.3529968,4276,2.5025599,70,-64,185,133,-225,-181,-382,-375,-284,-595,116,122,198,23,123,-112,0,-137,0,0,-189,-382,-305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13108,12850,13174,13179,13194,13248,13596,13649,13659,13685,13841,14122,14135,14273,14262,14318,14203,14122,14038,13916,13842,13625,13168,14352.80435,14480.84444,14279.67391,14273.04348,14133.67391,70,-59,177,154,-204,-172,-412,-417,-309,-1081,191,164,1851,25,560,0,0,-474,0,0,-562,-937,-666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076582,0.0151975,0.0116465,0.0329334,0.0745734,0.110018,0.0725088,0.0753704,0.0734036,0.0496075,0.018064,0.0023684,30.58333333,35.41666667,40.08333333,38.41666667,31.41666667,71,71,71,71,123,219,81,56,43,43,43,43,273,171,658,539,243,345,150,58,2,221,260,0,-3,4,5074,5100,4835,4812,4973,2806,1716,81,35,144,309,100,260,188,20,-13,18,215,0,37,-2
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,32,554,948,739,850,602,0,0,0,32767,32767,32767,748,713,713,32767,32767,107.1539993,4296,6.27491,25,-11,194,-46,-331,-76,-550,-434,-224,-252,-401,0,-223,-183,-295,0,0,0,0,0,0,-319,-269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13052,12843,13213,13277,13140,13263,13629,13662,13630,13670,14004,14208,0,14343,14312,14343,13984,14103,14025,13897,13773,13640,13151,14336.26087,14426.72727,14272.41304,14157.34783,14058.02174,23,-10,183,-49,-346,-71,-634,-461,-236,-350,0,0,-700,-737,-1468,0,0,0,0,0,0,-624,-622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076582,0.0151975,0.0116465,0.0329334,0.0745734,0.110018,0.0725088,0.0753704,0.0734036,0.0496075,0.018064,0.0023684,29.66666667,33.83333333,38.66666667,37.66666667,31.66666667,81,81,81,81,81,160,69,48,37,37,37,37,1148,991,1063,1209,395,166,115,221,25,82,485,0,41,0,258,131,312,574,41,136,0,84,-36,267,379,0,19,-1,158,9,289,494,0,37,-2
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,32,554,948,739,850,602,0,0,0,32767,32767,32767,721,700,657,32767,32767,77.504303,4305,9.9167805,-11,9,211,-83,-302,-76,-474,-456,-247,-504,-291,0,-216,0,-289,0,0,0,0,0,0,-368,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13052,12843,13213,13277,13140,13263,13629,13662,13630,13670,14004,14208,0,14343,14312,14343,13984,14103,14025,13897,13773,13640,13151,14336.26087,14426.72727,14272.41304,14157.34783,14058.02174,-11,9,211,-88,-305,-71,-493,-484,-261,-1053,0,0,-670,0,-1407,0,0,0,0,0,0,-901,-195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076582,0.0151975,0.0116465,0.0329334,0.0745734,0.110018,0.0725088,0.0753704,0.0734036,0.0496075,0.018064,0.0023684,29.66666667,33.83333333,38.66666667,37.66666667,31.66666667,81,81,81,81,81,160,69,48,37,37,37,37,1180,993,1063,1209,395,166,115,221,25,82,485,0,41,0,278,128,312,574,41,136,0,84,-36,267,379,0,19,-1,131,-13,289,494,0,37,-2
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,32,554,948,739,850,602,0,0,0,32767,32767,32767,677,700,640,32767,32767,102.0500031,4311,10.2754002,25,-11,194,-46,-331,-76,-550,-434,-224,-252,-401,0,-223,-183,-295,0,0,0,0,0,0,-319,-269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13052,12843,13213,13277,13140,13263,13629,13662,13630,13670,14004,14208,0,14343,14312,14343,13984,14103,14025,13897,13773,13640,13151,14336.26087,14426.72727,14272.41304,14157.34783,14058.02174,23,-10,183,-49,-346,-71,-634,-461,-236,-350,0,0,-700,-737,-1468,0,0,0,0,0,0,-624,-622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076582,0.0151975,0.0116465,0.0329334,0.0745734,0.110018,0.0725088,0.0753704,0.0734036,0.0496075,0.018064,0.0023684,29.66666667,33.83333333,38.66666667,37.66666667,31.66666667,81,81,81,81,81,160,69,48,37,37,37,37,1148,991,1063,1209,395,166,115,221,25,82,485,0,41,0,258,131,312,574,41,136,0,84,-36,267,379,0,19,-1,158,9,289,494,0,37,-2
–°·‘≤›≤›‘≠ªØ≤›µÈ,0,0,0,32,554,948,739,850,602,0,0,0,32767,32767,32767,721,700,657,32767,32767,145.6519928,4287,5.9794598,0,-14,198,-84,-363,-74,-483,-385,-224,-222,-468,0,-223,-183,0,0,0,0,0,0,0,-345,-463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13052,12843,13213,13277,13140,13263,13629,13662,13630,13670,14004,14208,0,14343,14312,14343,13984,14103,14025,13897,13773,13640,13151,14336.26087,14426.72727,14272.41304,14157.34783,14058.02174,0,-13,186,-87,-379,-69,-567,-415,-236,-305,0,0,-700,-737,0,0,0,0,0,0,0,-657,-1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076582,0.0151975,0.0116465,0.0329334,0.0745734,0.110018,0.0725088,0.0753704,0.0734036,0.0496075,0.018064,0.0023684,29.66666667,33.83333333,38.66666667,37.66666667,31.66666667,81,81,81,81,81,160,69,48,37,37,37,37,1013,792,1140,1304,408,163,114,323,33,173,706,0,41,0,254,137,312,574,41,136,0,114,84,271,367,0,0,30,158,9,201,457,0,39,-2
